time,E_batt_to_cons,E_genset_to_batt,E_genset_to_cons,E_pv_to_batt,E_pv_to_cons,asset_name
2021-01-17T00:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T00:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-17T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T02:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T02:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T03:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-17T03:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T04:15:00Z,,,,0.0205078125,0.0009765625,PG - Ighombwe
2021-01-17T04:30:00Z,,,,0.01953125,0.01953125,PG - Ighombwe
2021-01-17T04:45:00Z,,,,0.0205078125,0.01953125,PG - Ighombwe
2021-01-17T05:00:00Z,,,,0.01953125,0.0205078125,PG - Ighombwe
2021-01-17T05:15:00Z,,,,0.0498046875,0.0107421875,PG - Ighombwe
2021-01-17T05:30:00Z,,,,0.1201171875,0.0185546875,PG - Ighombwe
2021-01-17T05:45:00Z,,,,0.2099609375,0.0302734375,PG - Ighombwe
2021-01-17T06:00:00Z,,,,0.1201171875,0.009765625,PG - Ighombwe
2021-01-17T06:15:00Z,,,,0.16015625,0.0205078125,PG - Ighombwe
2021-01-17T06:30:00Z,,,,0.169921875,0.029296875,PG - Ighombwe
2021-01-17T06:45:00Z,,,,0.3095703125,0.03125,PG - Ighombwe
2021-01-17T07:00:00Z,,,,0.3203125,0.0400390625,PG - Ighombwe
2021-01-17T07:15:00Z,,,,0.259765625,0.0302734375,PG - Ighombwe
2021-01-17T07:30:00Z,,,,0.220703125,0.048828125,PG - Ighombwe
2021-01-17T07:45:00Z,,,,0.189453125,0.0205078125,PG - Ighombwe
2021-01-17T08:00:00Z,,,,0.150390625,0.0703125,PG - Ighombwe
2021-01-17T08:15:00Z,,,,0.1298828125,0.189453125,PG - Ighombwe
2021-01-17T08:30:00Z,,,,0.08984375,0.2001953125,PG - Ighombwe
2021-01-17T08:45:00Z,,,,0.099609375,0.1796875,PG - Ighombwe
2021-01-17T09:00:00Z,,,,0.080078125,0.1806640625,PG - Ighombwe
2021-01-17T09:15:00Z,,,,0.080078125,0.2099609375,PG - Ighombwe
2021-01-17T09:30:00Z,,,,0.0703125,0.2001953125,PG - Ighombwe
2021-01-17T09:45:00Z,,,,0.0595703125,0.19921875,PG - Ighombwe
2021-01-17T10:00:00Z,,,,0.060546875,0.2197265625,PG - Ighombwe
2021-01-17T10:15:00Z,,,,0.0595703125,0.23046875,PG - Ighombwe
2021-01-17T10:30:00Z,,,,0.060546875,0.2392578125,PG - Ighombwe
2021-01-17T10:45:00Z,,,,0.0498046875,0.2509765625,PG - Ighombwe
2021-01-17T11:00:00Z,0.0400390625,,,0.009765625,0.2197265625,PG - Ighombwe
2021-01-17T11:15:00Z,,,,0.060546875,0.26953125,PG - Ighombwe
2021-01-17T11:30:00Z,,,,0.0693359375,0.2509765625,PG - Ighombwe
2021-01-17T11:45:00Z,,,,0.0703125,0.25,PG - Ighombwe
2021-01-17T12:00:00Z,,,,0.0703125,0.2587890625,PG - Ighombwe
2021-01-17T12:15:00Z,,,,0.0693359375,0.291015625,PG - Ighombwe
2021-01-17T12:30:00Z,,,,0.0703125,0.279296875,PG - Ighombwe
2021-01-17T12:45:00Z,0.0498046875,,,0.009765625,0.23046875,PG - Ighombwe
2021-01-17T13:00:00Z,0.0400390625,,,0.009765625,0.240234375,PG - Ighombwe
2021-01-17T13:15:00Z,0.0302734375,,,0.0107421875,0.2294921875,PG - Ighombwe
2021-01-17T13:30:00Z,0.099609375,,,,0.140625,PG - Ighombwe
2021-01-17T13:45:00Z,0.1005859375,,,,0.119140625,PG - Ighombwe
2021-01-17T14:00:00Z,0.0693359375,,,0.01953125,0.16015625,PG - Ighombwe
2021-01-17T14:15:00Z,0.009765625,,,0.0400390625,0.2197265625,PG - Ighombwe
2021-01-17T14:30:00Z,0.1103515625,,,,0.1015625,PG - Ighombwe
2021-01-17T14:45:00Z,0.1201171875,,,,0.0693359375,PG - Ighombwe
2021-01-17T15:00:00Z,0.1201171875,,,,0.08984375,PG - Ighombwe
2021-01-17T15:15:00Z,0.1494140625,,,,0.0595703125,PG - Ighombwe
2021-01-17T15:30:00Z,0.1806640625,,,,0.0302734375,PG - Ighombwe
2021-01-17T15:45:00Z,0.2001953125,,,,,PG - Ighombwe
2021-01-17T16:00:00Z,0.2197265625,,,,,PG - Ighombwe
2021-01-17T16:15:00Z,0.2294921875,,,,,PG - Ighombwe
2021-01-17T16:30:00Z,0.23046875,,,,,PG - Ighombwe
2021-01-17T16:45:00Z,0.2197265625,,,,,PG - Ighombwe
2021-01-17T17:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T17:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-17T18:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T18:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T19:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T20:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-17T20:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T21:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T21:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T22:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-17T23:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-17T23:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T00:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T00:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-18T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T01:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T02:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T03:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-18T03:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-18T03:45:00Z,,,,,0.0107421875,PG - Ighombwe
2021-01-18T04:00:00Z,,,,0.009765625,,PG - Ighombwe
2021-01-18T04:15:00Z,,,,0.0205078125,0.0185546875,PG - Ighombwe
2021-01-18T04:30:00Z,,,,0.0302734375,0.0107421875,PG - Ighombwe
2021-01-18T04:45:00Z,,,,0.0693359375,0.0205078125,PG - Ighombwe
2021-01-18T05:00:00Z,,,,0.08984375,0.009765625,PG - Ighombwe
2021-01-18T05:15:00Z,,,,0.080078125,0.0205078125,PG - Ighombwe
2021-01-18T05:30:00Z,,,,0.1201171875,0.01953125,PG - Ighombwe
2021-01-18T05:45:00Z,,,,0.1201171875,0.029296875,PG - Ighombwe
2021-01-18T06:00:00Z,,,,0.1904296875,0.009765625,PG - Ighombwe
2021-01-18T06:15:00Z,,,,0.26953125,0.0302734375,PG - Ighombwe
2021-01-18T06:30:00Z,,,,0.240234375,0.029296875,PG - Ighombwe
2021-01-18T06:45:00Z,,,,0.2998046875,0.021484375,PG - Ighombwe
2021-01-18T07:00:00Z,,,,0.240234375,0.029296875,PG - Ighombwe
2021-01-18T07:15:00Z,,,,0.109375,0.0107421875,PG - Ighombwe
2021-01-18T07:30:00Z,,,,0.1201171875,0.01953125,PG - Ighombwe
2021-01-18T07:45:00Z,,,,0.150390625,0.029296875,PG - Ighombwe
2021-01-18T08:00:00Z,,,,0.2099609375,0.0205078125,PG - Ighombwe
2021-01-18T08:15:00Z,,,,0.1796875,0.0205078125,PG - Ighombwe
2021-01-18T08:30:00Z,,,,0.16015625,0.01953125,PG - Ighombwe
2021-01-18T08:45:00Z,,,,0.1103515625,0.0595703125,PG - Ighombwe
2021-01-18T09:00:00Z,0.0498046875,,,,0.1005859375,PG - Ighombwe
2021-01-18T09:15:00Z,0.0498046875,,,,0.1494140625,PG - Ighombwe
2021-01-18T09:30:00Z,0.0302734375,,,,0.2001953125,PG - Ighombwe
2021-01-18T09:45:00Z,0.01953125,,,0.0693359375,0.3505859375,PG - Ighombwe
2021-01-18T10:00:00Z,,,,0.1201171875,0.359375,PG - Ighombwe
2021-01-18T10:15:00Z,0.0107421875,,,0.080078125,0.361328125,PG - Ighombwe
2021-01-18T10:30:00Z,,,,0.1005859375,0.2783203125,PG - Ighombwe
2021-01-18T10:45:00Z,,,,0.08984375,0.3408203125,PG - Ighombwe
2021-01-18T11:00:00Z,0.009765625,,,0.0703125,0.3291015625,PG - Ighombwe
2021-01-18T11:15:00Z,,,,0.0791015625,0.3212890625,PG - Ighombwe
2021-01-18T11:30:00Z,,,,0.0703125,0.259765625,PG - Ighombwe
2021-01-18T11:45:00Z,,,,0.0302734375,0.2490234375,PG - Ighombwe
2021-01-18T12:00:00Z,0.0302734375,,,,0.2509765625,PG - Ighombwe
2021-01-18T12:15:00Z,0.0693359375,,,,0.2490234375,PG - Ighombwe
2021-01-18T12:30:00Z,0.1103515625,,,0.0703125,0.2802734375,PG - Ighombwe
2021-01-18T12:45:00Z,,,,0.1591796875,0.3505859375,PG - Ighombwe
2021-01-18T13:00:00Z,0.080078125,,,0.1103515625,0.33984375,PG - Ighombwe
2021-01-18T13:15:00Z,0.0595703125,,,0.08984375,0.3203125,PG - Ighombwe
2021-01-18T13:30:00Z,0.060546875,,,0.0302734375,0.3486328125,PG - Ighombwe
2021-01-18T13:45:00Z,0.009765625,,,0.080078125,0.2607421875,PG - Ighombwe
2021-01-18T14:00:00Z,,,,0.0693359375,0.23046875,PG - Ighombwe
2021-01-18T14:15:00Z,,,,0.0400390625,0.2099609375,PG - Ighombwe
2021-01-18T14:30:00Z,,,,0.0107421875,0.189453125,PG - Ighombwe
2021-01-18T14:45:00Z,0.0302734375,,,,0.1591796875,PG - Ighombwe
2021-01-18T15:00:00Z,0.0498046875,,,,0.111328125,PG - Ighombwe
2021-01-18T15:15:00Z,0.0703125,,,,0.080078125,PG - Ighombwe
2021-01-18T15:30:00Z,0.119140625,,,,0.0390625,PG - Ighombwe
2021-01-18T15:45:00Z,0.140625,,,,,PG - Ighombwe
2021-01-18T16:00:00Z,0.169921875,,,,,PG - Ighombwe
2021-01-18T16:15:00Z,0.189453125,,,,,PG - Ighombwe
2021-01-18T16:30:00Z,0.140625,,,,,PG - Ighombwe
2021-01-18T16:45:00Z,0.2001953125,,,,,PG - Ighombwe
2021-01-18T17:00:00Z,0.25,,,,,PG - Ighombwe
2021-01-23T09:15:00Z,0.009765625,,,0.1005859375,0.25,PG - Ighombwe
2021-01-23T09:30:00Z,,,,0.08984375,0.2197265625,PG - Ighombwe
2021-01-23T09:45:00Z,,,,0.080078125,0.23046875,PG - Ighombwe
2021-01-23T10:00:00Z,,,,0.0693359375,0.2197265625,PG - Ighombwe
2021-01-23T10:15:00Z,0.009765625,,,0.05078125,0.2294921875,PG - Ighombwe
2021-01-23T10:30:00Z,0.0205078125,,,0.0595703125,0.240234375,PG - Ighombwe
2021-01-23T10:45:00Z,0.01953125,,,0.0498046875,0.2607421875,PG - Ighombwe
2021-01-23T11:00:00Z,0.060546875,,,0.080078125,0.2998046875,PG - Ighombwe
2021-01-23T11:15:00Z,0.01953125,,,0.060546875,0.3994140625,PG - Ighombwe
2021-01-23T11:30:00Z,0.0205078125,,,0.0693359375,0.3203125,PG - Ighombwe
2021-01-23T11:45:00Z,0.009765625,,,0.0498046875,0.4208984375,PG - Ighombwe
2021-01-23T12:00:00Z,0.0693359375,,,0.0400390625,0.3896484375,PG - Ighombwe
2021-01-23T12:15:00Z,0.1005859375,,,0.0400390625,0.2197265625,PG - Ighombwe
2021-01-23T12:30:00Z,,,,0.169921875,0.25,PG - Ighombwe
2021-01-23T12:45:00Z,0.1103515625,,,0.0400390625,0.220703125,PG - Ighombwe
2021-01-23T13:00:00Z,0.119140625,,,,0.0595703125,PG - Ighombwe
2021-01-23T13:15:00Z,0.0908203125,,,,0.080078125,PG - Ighombwe
2021-01-23T13:30:00Z,0.0693359375,,,,0.1201171875,PG - Ighombwe
2021-01-23T13:45:00Z,0.1298828125,,,,0.0595703125,PG - Ighombwe
2021-01-23T14:00:00Z,0.1904296875,,,,0.0205078125,PG - Ighombwe
2021-01-23T14:15:00Z,0.189453125,,,,,PG - Ighombwe
2021-01-23T14:30:00Z,0.1904296875,,,,,PG - Ighombwe
2021-01-23T14:45:00Z,0.1796875,,,,0.009765625,PG - Ighombwe
2021-01-23T15:00:00Z,0.2001953125,,,,0.009765625,PG - Ighombwe
2021-01-23T15:15:00Z,0.2001953125,,,,,PG - Ighombwe
2021-01-23T15:30:00Z,0.25,,,,0.0205078125,PG - Ighombwe
2021-01-23T15:45:00Z,0.1103515625,,,,,PG - Ighombwe
2021-01-23T16:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T16:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T17:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T18:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-23T18:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T19:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T19:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T20:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-23T21:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T21:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T22:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T22:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-23T23:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T00:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T00:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T01:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T01:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T02:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T02:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T03:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T04:15:00Z,,,,0.009765625,0.0302734375,PG - Ighombwe
2021-01-24T04:30:00Z,,,,0.0302734375,0.0087890625,PG - Ighombwe
2021-01-24T04:45:00Z,,,,0.0595703125,0.0107421875,PG - Ighombwe
2021-01-24T05:00:00Z,,,,0.080078125,0.0205078125,PG - Ighombwe
2021-01-24T05:15:00Z,,,,0.080078125,0.01953125,PG - Ighombwe
2021-01-24T05:30:00Z,,,,0.080078125,0.01953125,PG - Ighombwe
2021-01-24T05:45:00Z,,,,0.109375,0.01171875,PG - Ighombwe
2021-01-24T06:00:00Z,,,,0.150390625,0.0283203125,PG - Ighombwe
2021-01-24T06:15:00Z,,,,0.1904296875,0.01953125,PG - Ighombwe
2021-01-24T06:30:00Z,,,,0.2099609375,0.0205078125,PG - Ighombwe
2021-01-24T06:45:00Z,,,,0.279296875,0.03125,PG - Ighombwe
2021-01-24T07:00:00Z,,,,0.3203125,0.029296875,PG - Ighombwe
2021-01-24T07:15:00Z,,,,0.2900390625,0.0205078125,PG - Ighombwe
2021-01-24T07:30:00Z,,,,0.240234375,0.0400390625,PG - Ighombwe
2021-01-24T07:45:00Z,,,,0.2099609375,0.0185546875,PG - Ighombwe
2021-01-24T08:00:00Z,,,,0.169921875,0.16015625,PG - Ighombwe
2021-01-24T08:15:00Z,,,,0.150390625,0.259765625,PG - Ighombwe
2021-01-24T08:30:00Z,,,,0.119140625,0.28125,PG - Ighombwe
2021-01-24T08:45:00Z,,,,0.1005859375,0.2900390625,PG - Ighombwe
2021-01-24T09:00:00Z,,,,0.099609375,0.2900390625,PG - Ighombwe
2021-01-24T09:15:00Z,,,,0.080078125,0.2705078125,PG - Ighombwe
2021-01-24T09:30:00Z,,,,0.080078125,0.298828125,PG - Ighombwe
2021-01-24T09:45:00Z,,,,0.0703125,0.3203125,PG - Ighombwe
2021-01-24T10:00:00Z,,,,0.0693359375,0.2998046875,PG - Ighombwe
2021-01-24T10:15:00Z,,,,0.060546875,0.3095703125,PG - Ighombwe
2021-01-24T10:30:00Z,,,,0.0703125,0.2998046875,PG - Ighombwe
2021-01-24T10:45:00Z,,,,0.0595703125,0.271484375,PG - Ighombwe
2021-01-24T11:00:00Z,,,,0.0595703125,0.2802734375,PG - Ighombwe
2021-01-24T11:15:00Z,,,,0.0703125,0.2294921875,PG - Ighombwe
2021-01-24T11:30:00Z,,,,0.060546875,0.2490234375,PG - Ighombwe
2021-01-24T11:45:00Z,,,,0.0693359375,0.220703125,PG - Ighombwe
2021-01-24T12:00:00Z,,,,0.0703125,0.2490234375,PG - Ighombwe
2021-01-24T12:15:00Z,,,,0.0703125,0.2509765625,PG - Ighombwe
2021-01-24T12:30:00Z,,,,0.0595703125,0.26953125,PG - Ighombwe
2021-01-24T12:45:00Z,0.0205078125,,,0.01953125,0.2607421875,PG - Ighombwe
2021-01-24T13:00:00Z,,,,0.0107421875,0.2685546875,PG - Ighombwe
2021-01-24T13:15:00Z,,,,,0.2705078125,PG - Ighombwe
2021-01-24T13:30:00Z,,,,0.009765625,0.25,PG - Ighombwe
2021-01-24T13:45:00Z,0.009765625,,,0.009765625,0.2509765625,PG - Ighombwe
2021-01-24T14:00:00Z,0.0302734375,,,0.0302734375,0.2392578125,PG - Ighombwe
2021-01-24T14:15:00Z,0.01953125,,,0.0595703125,0.240234375,PG - Ighombwe
2021-01-24T14:30:00Z,0.150390625,,,,0.1103515625,PG - Ighombwe
2021-01-24T14:45:00Z,0.1796875,,,,0.08984375,PG - Ighombwe
2021-01-24T15:00:00Z,0.220703125,,,,0.060546875,PG - Ighombwe
2021-01-24T15:15:00Z,0.2392578125,,,,0.029296875,PG - Ighombwe
2021-01-24T15:30:00Z,0.150390625,,,,0.01953125,PG - Ighombwe
2021-01-24T15:45:00Z,0.099609375,,,,,PG - Ighombwe
2021-01-24T16:00:00Z,0.0703125,,,,,PG - Ighombwe
2021-01-24T16:30:00Z,0.0302734375,,,,,PG - Ighombwe
2021-01-24T16:45:00Z,0.1201171875,,,,,PG - Ighombwe
2021-01-24T17:00:00Z,0.2197265625,,,,,PG - Ighombwe
2021-01-24T17:15:00Z,0.259765625,,,,,PG - Ighombwe
2021-01-24T17:30:00Z,0.2705078125,,,,,PG - Ighombwe
2021-01-24T17:45:00Z,0.099609375,,,,,PG - Ighombwe
2021-01-24T18:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T18:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T19:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T19:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T20:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T20:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T21:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T22:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T22:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T23:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T23:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T00:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T00:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T02:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T02:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T03:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T03:45:00Z,,,,,0.0107421875,PG - Ighombwe
2021-01-25T04:00:00Z,,,,0.0107421875,,PG - Ighombwe
2021-01-25T04:15:00Z,,,,0.01953125,0.009765625,PG - Ighombwe
2021-01-25T04:30:00Z,,,,0.0205078125,0.0185546875,PG - Ighombwe
2021-01-25T04:45:00Z,,,,0.029296875,0.01171875,PG - Ighombwe
2021-01-25T05:00:00Z,,,,0.0400390625,0.0302734375,PG - Ighombwe
2021-01-25T05:15:00Z,,,,0.0498046875,0.01953125,PG - Ighombwe
2021-01-25T05:30:00Z,,,,0.080078125,0.009765625,PG - Ighombwe
2021-01-25T05:45:00Z,,,,0.1005859375,0.01953125,PG - Ighombwe
2021-01-25T06:00:00Z,,,,0.16015625,0.009765625,PG - Ighombwe
2021-01-25T06:15:00Z,,,,0.19921875,0.03125,PG - Ighombwe
2021-01-25T06:30:00Z,,,,0.30078125,0.0283203125,PG - Ighombwe
2021-01-25T06:45:00Z,,,,0.349609375,0.0302734375,PG - Ighombwe
2021-01-25T07:00:00Z,,,,0.330078125,0.08984375,PG - Ighombwe
2021-01-25T07:15:00Z,0.009765625,,,0.2197265625,0.2109375,PG - Ighombwe
2021-01-25T07:30:00Z,0.0302734375,,,0.1005859375,0.189453125,PG - Ighombwe
2021-01-25T07:45:00Z,0.009765625,,,0.2197265625,0.240234375,PG - Ighombwe
2021-01-25T08:00:00Z,0.009765625,,,0.1103515625,0.2099609375,PG - Ighombwe
2021-01-25T08:15:00Z,,,,0.19921875,0.23046875,PG - Ighombwe
2021-01-25T08:30:00Z,,,,0.140625,0.19921875,PG - Ighombwe
2021-01-25T08:45:00Z,,,,0.0693359375,0.1904296875,PG - Ighombwe
2021-01-25T09:00:00Z,,,,0.1298828125,0.2001953125,PG - Ighombwe
2021-01-25T09:15:00Z,0.05078125,,,0.1103515625,0.21875,PG - Ighombwe
2021-01-25T09:30:00Z,0.01953125,,,0.08984375,0.2314453125,PG - Ighombwe
2021-01-25T09:45:00Z,,,,0.060546875,0.21875,PG - Ighombwe
2021-01-25T10:00:00Z,,,,0.08984375,0.3203125,PG - Ighombwe
2021-01-25T10:15:00Z,0.009765625,,,0.08984375,0.3896484375,PG - Ighombwe
2021-01-25T10:30:00Z,0.0107421875,,,0.080078125,0.400390625,PG - Ighombwe
2021-01-25T10:45:00Z,0.029296875,,,0.08984375,0.4404296875,PG - Ighombwe
2021-01-25T11:00:00Z,0.0107421875,,,0.0703125,0.46875,PG - Ighombwe
2021-01-25T11:15:00Z,0.080078125,,,0.0498046875,0.48046875,PG - Ighombwe
2021-01-25T11:30:00Z,0.26953125,,,,0.1806640625,PG - Ighombwe
2021-01-25T11:45:00Z,0.0302734375,,,0.2294921875,0.400390625,PG - Ighombwe
2021-01-25T12:00:00Z,0.0400390625,,,0.1708984375,0.4287109375,PG - Ighombwe
2021-01-25T12:15:00Z,0.25,,,0.009765625,0.2109375,PG - Ighombwe
2021-01-25T12:30:00Z,0.080078125,,,0.1494140625,0.3095703125,PG - Ighombwe
2021-01-25T12:45:00Z,0.109375,,,0.0205078125,0.080078125,PG - Ighombwe
2021-01-25T13:00:00Z,0.150390625,,,,,PG - Ighombwe
2021-01-25T13:15:00Z,0.1396484375,,,,0.0205078125,PG - Ighombwe
2021-01-25T13:30:00Z,0.169921875,,,,,PG - Ighombwe
2021-01-25T13:45:00Z,0.1806640625,,,,0.01953125,PG - Ighombwe
2021-01-25T14:00:00Z,0.169921875,,,,0.01953125,PG - Ighombwe
2021-01-25T14:15:00Z,0.2099609375,,,,0.0205078125,PG - Ighombwe
2021-01-25T14:30:00Z,0.2392578125,,,,0.0107421875,PG - Ighombwe
2021-01-25T14:45:00Z,0.2607421875,,,,0.009765625,PG - Ighombwe
2021-01-25T15:00:00Z,0.2392578125,,,,,PG - Ighombwe
2021-01-25T15:15:00Z,0.23046875,,,,,PG - Ighombwe
2021-01-25T15:30:00Z,0.0498046875,,,,,PG - Ighombwe
2021-01-25T15:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T16:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T17:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T17:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T18:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T18:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T19:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T19:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T20:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T21:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T21:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T22:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T22:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T23:30:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-26T00:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T00:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T01:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-26T02:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T03:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T03:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T04:15:00Z,,,,0.009765625,0.009765625,PG - Ighombwe
2021-01-26T04:30:00Z,,,,0.0302734375,0.009765625,PG - Ighombwe
2021-01-26T04:45:00Z,,,,0.0595703125,0.01953125,PG - Ighombwe
2021-01-26T05:00:00Z,,,,0.08984375,0.0205078125,PG - Ighombwe
2021-01-26T05:15:00Z,,,,0.080078125,0.01953125,PG - Ighombwe
2021-01-26T05:30:00Z,,,,0.0703125,0.009765625,PG - Ighombwe
2021-01-26T05:45:00Z,,,,0.1103515625,0.0205078125,PG - Ighombwe
